,Wins,FinalFour,TitleGame,Champion
Missouri,0.0699,0.0,0.0,0.0
Utah St.,0.0354,0.0,0.0,0.0
Fairleigh Dickinson,0.0092,0.0,0.0,0.0
Providence,0.04,0.0,0.0,0.0
Iowa,0.0466,0.0,0.0,0.0
Miami FL,0.0945,0.0252,0.0,0.0
Indiana,0.0795,0.0,0.0,0.0
Xavier,0.1485,0.0,0.0,0.0
Kennesaw St.,0.0032,0.0,0.0,0.0
Texas ,0.0294,0.0,0.0,0.0
Colgate,0.015,0.0,0.0,0.0
Howard,0.004,0.0,0.0,0.0
Iona,0.0211,0.0,0.0,0.0
TCU,0.0264,0.0,0.0,0.0
Boise St.,0.0119,0.0,0.0,0.0
UNC Asheville,0.0118,0.0,0.0,0.0
Kansas St.,0.114,0.0,0.0,0.0
Pittsburgh,0.0928,0.0,0.0,0.0
Georgia St.,0.0142,0.0,0.0,0.0
Murray St.,0.037,0.0,0.0,0.0
San Francisco,0.0024,0.0,0.0,0.0
Chattanooga,0.0099,0.0,0.0,0.0
Colorado St.,0.0272,0.0,0.0,0.0
Longwood,0.006,0.0,0.0,0.0
Villanova,0.2552,0.1545,0.0917,0.0917
LSU,0.0405,0.0,0.0,0.0
Notre Dame,0.0989,0.0,0.0,0.0
Texas,0.1021,0.0,0.0,0.0
Ohio St.,0.1569,0.0333,0.0,0.0
Norfolk St.,0.0126,0.0,0.0,0.0
Ohio,0.0213,0.0,0.0,0.0
Grand Canyon,0.0159,0.0,0.0,0.0
Michigan,0.2164,0.0715,0.0715,0.0
Texas Southern,0.0133,0.0,0.0,0.0
St. Bonaventure,0.0105,0.0,0.0,0.0
Georgetown,0.0573,0.0,0.0,0.0
Abilene Christian,0.0076,0.0,0.0,0.0
Hartford,0.0034,0.0,0.0,0.0
Virginia Tech,0.0318,0.0,0.0,0.0
Oral Roberts,0.0152,0.0,0.0,0.0
Oregon St.,0.0164,0.0,0.0,0.0
Oklahoma St.,0.0426,0.0,0.0,0.0
Syracuse,0.1691,0.0438,0.0,0.0
Cleveland St.,0.0081,0.0,0.0,0.0
Oklahoma,0.1176,0.0344,0.0,0.0
Florida St.,0.0918,0.0,0.0,0.0
USC,0.0473,0.0,0.0,0.0
Mississippi St.,0.0246,0.0,0.0,0.0
Buffalo,0.0203,0.0,0.0,0.0
Arizona St.,0.0158,0.0,0.0,0.0
Northern Kentucky,0.0079,0.0,0.0,0.0
Old Dominion,0.0142,0.0,0.0,0.0
Northeastern,0.005,0.0,0.0,0.0
UCF,0.0059,0.0,0.0,0.0
Wofford,0.0243,0.0,0.0,0.0
Virginia ,0.0404,0.0404,0.0404,0.0404
Davidson,0.0297,0.0,0.0,0.0
Loyola Chicago,0.0312,0.0168,0.0,0.0
Nevada,0.0237,0.0,0.0,0.0
Cincinnati,0.0746,0.0,0.0,0.0
South Dakota St.,0.0224,0.0,0.0,0.0
UNC Greensboro,0.0067,0.0,0.0,0.0
Wichita St.,0.072,0.0186,0.0,0.0
Penn,0.0024,0.0,0.0,0.0
Seton Hall,0.0245,0.0,0.0,0.0
Rhode Island,0.016,0.0,0.0,0.0
UMBC,0.007,0.0,0.0,0.0
Marshall,0.0065,0.0,0.0,0.0
SMU,0.0084,0.0,0.0,0.0
New Mexico St.,0.0331,0.0,0.0,0.0
Bucknell,0.0118,0.0,0.0,0.0
VCU,0.0677,0.0163,0.0,0.0
Louisville,0.201,0.0775,0.0495,0.0495
Jacksonville St.,0.0053,0.0,0.0,0.0
Minnesota,0.0245,0.0,0.0,0.0
Middle Tennessee,0.0113,0.0,0.0,0.0
Kent St.,0.0094,0.0,0.0,0.0
Butler,0.1196,0.0575,0.0575,0.0
Northern Iowa,0.0299,0.0,0.0,0.0
Cal St. Bakersfield,0.0034,0.0,0.0,0.0
Weber St.,0.0053,0.0,0.0,0.0
Fresno St.,0.0026,0.0,0.0,0.0
Dayton,0.0429,0.0,0.0,0.0
Stephen F. Austin,0.022,0.0,0.0,0.0
Utah,0.0323,0.0,0.0,0.0
Harvard,0.0208,0.0,0.0,0.0
UC Irvine,0.0089,0.0,0.0,0.0
Albany,0.0094,0.0,0.0,0.0
Robert Morris,0.0111,0.0,0.0,0.0
North Carolina St.,0.0524,0.015,0.0,0.0
Tulsa,0.0041,0.0,0.0,0.0
Delaware,0.0063,0.0,0.0,0.0
Saint Joseph's,0.0146,0.0,0.0,0.0
Manhattan,0.0029,0.0,0.0,0.0
Massachusetts,0.0045,0.0,0.0,0.0
Mercer,0.006,0.0,0.0,0.0
Stanford,0.0292,0.0,0.0,0.0
Valparaiso,0.005,0.0,0.0,0.0
Temple,0.0346,0.0,0.0,0.0
Pacific,0.0033,0.0,0.0,0.0
Saint Louis,0.0302,0.0,0.0,0.0
UNLV,0.0268,0.0,0.0,0.0
Lehigh,0.0098,0.0,0.0,0.0
Montana,0.0173,0.0,0.0,0.0
South Florida,0.0064,0.0,0.0,0.0
Indiana St.,0.0029,0.0,0.0,0.0
LIU Brooklyn,0.0063,0.0,0.0,0.0
Belmont,0.0177,0.0,0.0,0.0
George Mason,0.0109,0.0,0.0,0.0
Washington,0.0375,0.0,0.0,0.0
Richmond,0.0203,0.0,0.0,0.0
UC Santa Barbara,0.0115,0.0,0.0,0.0
UTEP,0.0043,0.0,0.0,0.0
Wake Forest,0.0121,0.0,0.0,0.0
Cornell,0.0158,0.0,0.0,0.0
Siena,0.0165,0.0,0.0,0.0
Cal St. Northridge,0.0027,0.0,0.0,0.0
Binghamton,0.0031,0.0,0.0,0.0
South Alabama,0.0041,0.0,0.0,0.0
American,0.0083,0.0,0.0,0.0
Austin Peay,0.0068,0.0,0.0,0.0
Mississippi Valley St.,0.0023,0.0,0.0,0.0
Drake,0.023,0.0,0.0,0.0
Georgia,0.0133,0.0,0.0,0.0
San Diego,0.0064,0.0,0.0,0.0
High Point,0.0024,0.0,0.0,0.0
Duquesne,0.0057,0.0,0.0,0.0
Wagner,0.0023,0.0,0.0,0.0
Samford,0.0025,0.0,0.0,0.0
Princeton,0.0135,0.0,0.0,0.0
Cal St. Fullerton,0.0096,0.0,0.0,0.0
Saint Peter's,0.0172,0.0,0.0,0.0
Eastern Washington,0.0055,0.0,0.0,0.0
Winthrop,0.0092,0.0,0.0,0.0
Georgia Tech,0.0105,0.0,0.0,0.0
Rutgers,0.008,0.0,0.0,0.0
North Texas,0.0104,0.0,0.0,0.0
North Dakota St.,0.0151,0.0,0.0,0.0
Bradley,0.0026,0.0,0.0,0.0
Florida Gulf Coast,0.0142,0.0,0.0,0.0
North Dakota,0.003,0.0,0.0,0.0
Hawaii,0.0061,0.0,0.0,0.0
UNC Wilmington,0.0086,0.0,0.0,0.0
Hampton,0.0086,0.0,0.0,0.0
Western Michigan,0.0018,0.0,0.0,0.0
Milwaukee,0.0029,0.0,0.0,0.0
La Salle,0.01,0.0,0.0,0.0
Vermont,0.0217,0.0,0.0,0.0
California,0.0236,0.0,0.0,0.0
Morehead St.,0.0131,0.0,0.0,0.0
Boston College,0.0039,0.0,0.0,0.0
Morgan St.,0.0045,0.0,0.0,0.0
UC San Diego,0.0035,0.0,0.0,0.0
Mount St. Mary's,0.0077,0.0,0.0,0.0
Penn St.,0.0093,0.0,0.0,0.0
Gardner Webb,0.0023,0.0,0.0,0.0
Lipscomb,0.0058,0.0,0.0,0.0
Radford,0.0056,0.0,0.0,0.0
Stony Brook,0.0023,0.0,0.0,0.0
Little Rock,0.0066,0.0,0.0,0.0
Lafayette,0.0022,0.0,0.0,0.0
Wyoming,0.0036,0.0,0.0,0.0
Southern,0.0025,0.0,0.0,0.0
Southern Miss,0.0055,0.0,0.0,0.0
Detroit,0.0033,0.0,0.0,0.0
UTSA,0.003,0.0,0.0,0.0
Northern Colorado,0.0031,0.0,0.0,0.0
East Tennessee St.,0.0086,0.0,0.0,0.0
Portland St.,0.0048,0.0,0.0,0.0
UT Arlington,0.0036,0.0,0.0,0.0
Bryant,0.0025,0.0,0.0,0.0
Texas A&M Corpus Chris,0.0028,0.0,0.0,0.0
Louisiana Lafayette,0.0063,0.0,0.0,0.0
Wright St.,0.0058,0.0,0.0,0.0
UC Davis,0.0024,0.0,0.0,0.0
Eastern Kentucky,0.0024,0.0,0.0,0.0
North Carolina Central,0.0024,0.0,0.0,0.0
Cal Poly,0.0029,0.0,0.0,0.0
Sam Houston St.,0.0022,0.0,0.0,0.0
Alabama St.,0.0019,0.0,0.0,0.0
Nebraska Omaha,0.0021,0.0,0.0,0.0
Montana St.,0.006,0.0,0.0,0.0
Holy Cross,0.0031,0.0,0.0,0.0
Green Bay,0.003,0.0,0.0,0.0
McNeese St.,0.009,0.0,0.0,0.0
Drexel,0.0024,0.0,0.0,0.0
Coastal Carolina,0.0043,0.0,0.0,0.0
George Washington,0.0039,0.0,0.0,0.0
Arkansas Pine Bluff,0.0029,0.0,0.0,0.0
Northwestern St.,0.0031,0.0,0.0,0.0
Loyola MD,0.0032,0.0,0.0,0.0
Boston University,0.0027,0.0,0.0,0.0
SIU Edwardsville,0.0027,0.0,0.0,0.0
North Carolina A&T,0.002,0.0,0.0,0.0
